ID,Recipe,Produced,Link,Ordered 0,I want,I have,Ingredients,Ing 1,Amt 1,,Ing 2,Amt 2,,Ing 3,Amt 3,,Ing 4,Amt 4,,Ing 5,Amt 5,,Ing 6,Amt 6,,Ing 7,Amt 7,,Ing 8,Amt 8,,Ing 9,Amt 9,,Ing 10,Amt 10,,Ing 11,Amt 11,,Dup,Category,Skill,Skill Req,Value,Markup,Value Per,Profit,Npc Value,Price Override,Found Where,Notes,Icon,Ordered Value 0,Markup %,CraftCount,Target Items 0,Item Count,Craft Order,,IconName,,,Material Bonus1,,Material Bonus2,,Material Bonus3,,Material Bonus4,,Material Bonus5,,Material Bonus6,Weight,Min Damage,Damage / Max Damage,SDD,StrMod,DexMultipler,IntMultipler,Critical,Range,Durability,Damage Resistance,Damage Absorption,Damage Avoidance,Fizzle,Slugs,Weapon Damage,Weapon Critical,,,,,,,Source,EndRecipe,LinkSingle1,Total from Base,BlackBar,ID#,Search1,Search2,RecipeName,Tool List,Price0,Price1,Price2,Price3,Price4,Price5,Price6,Price7,Price8,Price9,Price10,,,Icon_Filenames,Sort
4Wx4Hx4L Rough Stone Cube Block#_117929a926ab5f42a854028b09e91e49,4Wx4Hx4L Rough Stone Cube Block,1,,0,,,"Smelting Tongs, Stone Chisel, (200)Granite Block",Smelting Tongs,1,0,Stone Chisel,1,0,Granite Block,200,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Refining,Smelting,,1100.00,100.00,1000,-900.00,200,,,,RoughStoneBlock_4x4x4,0.00,10.00,0.00,0,1,3,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,,32,,,4Wx4Hx4L Rough Stone Cube Block,Wire Pliers,,,,,,,,,,,,,,,
Amethyst Fragment#,Amethyst Fragment,1,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Gathering,Gathering,,1.10,0.10,1,-0.50,1,,,,port_CrystalShardPurple_icon,0.00,10.00,0.00,0,1,2,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,Wiki,,,1,,18,,,Amethyst Fragment,,,,,,,,,,,,,,,,
Amethyst#_63282a58ba2600ddb39ddde4fd1b49db,Amethyst,1,,0,,,"Mortar and Pestle, (400)Amethyst Fragment, (10)Mandrake Root",Mortar and Pestle,1,0,Amethyst Fragment,400,0,Mandrake Root,10,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Production,Alchemy,20,462.00,42.00,420,-320.00,200,,,,,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,9,,,Amethyst,Bone Needle,,,,,,,,,,,,,,,
Animal Bone#_b8d6e874ca295adb386b3ea19972edd7,Animal Bone,2,,0,,,"Cleaver, Sheep Carcass",Cleaver,1,0,Sheep Carcass,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Refining,Butchery,,1.10,0.10,1,-0.50,1,1.00,,,,0.00,10.00,0.00,0,1,3,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,12,,,Animal Bone,Edged Chisel,,,,,,,,,,,,,,,
Animal Bone#_d5b791922c9178a5583e945ab43c89ce,Animal Bone,2,,0,,,"Cleaver, Pig Carcass",Cleaver,1,0,Pig Carcass,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Refining,Butchery,,3.30,0.30,3,-2.50,1,,,,,0.00,10.00,0.00,0,1,3,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,,Animal Bone,Loom Shuttle,,,,,,,,,,,,,,,
Animal Bone#_fa279916983b82445ac14469cb6af485,Animal Bone,2,,0,,,"Cleaver, Deer Carcass",Cleaver,1,0,Deer Carcass,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Refining,Butchery,,1.10,0.10,1,-0.50,1,1.00,,,,0.00,10.00,0.00,0,1,3,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,,Animal Bone,Rawhide Mallet,,,,,,,,,,,,,,,
Animal Collar#_d7ca1101dbb238f110add7a11deab05a,Animal Collar,1,,0,,,"Tailoring Scissors, Metal Binding, (2)Strap",Tailoring Scissors,1,0,Metal Binding,1,0,Strap,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Production,Tailoring,,39.60,3.60,36,-16.00,40,,,,ItemConsume_TamingCollar,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,14,,,Animal Collar,Cooking Pot,,,,,,,,,,,,,,,
Animal Hide#,Animal Hide,1,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Gathering,Gathering,,8.80,0.80,8,-4.00,8,,,,Pelt_01,0.00,10.00,0.00,0,1,2,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,Wiki,,,1,,12,,,Animal Hide,,,,,,,,,,,,,,,,
Animal whistle#_0180d7dc85a6806c7db2d616f4d73e82,Animal whistle,1,,0,,,"Carpentry Hammer, Wood Rasp, Wooden Pole",Carpentry Hammer,1,0,Wood Rasp,1,0,Wooden Pole,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Production,Carpentry,,13.20,1.20,12,-11.00,2,,,,Item_SummonTamed,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,15,,,Animal whistle,Core Mold,,,,,,,,,,,,,,,
Apple#,Apple,1,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Gathering,Gathering,,1.10,0.10,1,-0.50,1,,,,Market_Apple,0.00,10.00,0.00,0,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,Wiki,,,1,,6,,,Apple,,,,,,,,,,,,,,,,
Aqua Dye#_71a679e2ec32470530771c3f4bc646b1,Aqua Dye,1,,0,,,"Tanning Knife, (4)Maple Tree Bark, Pine Resin, (2)Chunk of Coal",Tanning Knife,1,0,Maple Tree Bark,4,0,Pine Resin,1,0,Chunk of Coal,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Refining,Tanning,35,191.40,17.40,174,-174.00,,,,,,0.00,10.00,0.00,0,1,3,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,1,,9,,,Aqua Dye,Dagger Blade Mold,,,,,,,,,,,,,,,
Arrow Head Mold#,Arrow Head Mold,1,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Tool,Tool,,0.00,0.00,0,0.00,,,,,Mold_ArrowHead,0.00,10.00,0.00,0,1,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,Wiki,,,1,,16,,,Arrow Head Mold,,,,,,,,,,,,,,,,
Arrow#_c3ec09151e664f73520035310749b556,Arrow,500,,0,,,"Carpentry Hammer, Wooden Boards, (5)Bundle of Feathers, Arrowheads",Carpentry Hammer,1,0,Wooden Boards,1,0,Bundle of Feathers,5,0,Arrowheads,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Production,Carpentry,,39.60,3.60,36,-36.00,0,,,,ArrowBasic,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,500,,6,,,Arrow,Great Axe Head Mold,,,,,,,,,,,,,,,
Arrowheads#_9ab46f61738bad5e17b1c029cfe4805b,Arrowheads,1,,0,,,"Smithing Hammer, Arrow Head Mold, Metal Ingot",Smithing Hammer,1,0,Arrow Head Mold,1,0,Metal Ingot,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Production,Blacksmithing,,25.30,2.30,23,-22.50,1,,,,Iron_Head_Spear,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,11,,,Arrowheads,Halberd Blade Mold,,,,,,,,,,,,,,,
Astrolabe#_6a0a8754a5c50cbc3b52d664685f6f9b,Astrolabe,1,,0,,,"Mortar and Pestle, (2)Chunk of Coal, (10)Mandrake Root, (2)Gold Ingot, Lunaism Gem, Atenism Gem",Mortar and Pestle,1,0,Chunk of Coal,2,0,Mandrake Root,10,0,Gold Ingot,2,0,Lunaism Gem,1,0,Atenism Gem,1,0,,,0,,,0,,,0,,,0,,,0,,Production,Alchemy,,1047.20,95.20,952,-952.00,,,,,,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,1,,10,,,Astrolabe,Hand Axe Head Mold,,,,,,,,,,,,,,,
Atenism Gem#_3d515566c850b7c13803725c4176ed16,Atenism Gem,1,,0,,,"Mortar and Pestle, Garnet, (10)Mandrake Root",Mortar and Pestle,1,0,Garnet,1,0,Mandrake Root,10,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Production,Alchemy,25,484.00,44.00,440,-390.00,100,,,,,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,12,,,Atenism Gem,Heavy War Hammer Head Mold,,,,,,,,,,,,,,,
Atenism Jewel#_b81ea1e1c68307efadcf408631680b1d,Atenism Jewel,2,,0,,,"Mortar and Pestle, Garnet, (5)Mandrake Root",Mortar and Pestle,1,0,Garnet,1,0,Mandrake Root,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Production,Alchemy,25,473.00,43.00,430,-380.00,100,,,,,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,14,,,Atenism Jewel,Ingot Mold,,,,,,,,,,,,,,,
Augmented Chainmail Boots#_fe6dfb44019b48bc31ccaf5e4037606b,Augmented Chainmail Boots,1,,0,,,"Smithing Hammer, Wire Pliers, (2)Coil of Metal Wire, Strap, (2)Chunk of Coal",Smithing Hammer,1,0,Wire Pliers,1,0,Coil of Metal Wire,2,0,Strap,1,0,Chunk of Coal,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,Production,Blacksmithing,15,119.90,10.90,109,-52.50,113,,,,,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,1,,,,,,,,,50,3,6.5,1,4,,,,,,,,,,,,,1,,26,,,Augmented Chainmail Boots,Longsword Blade Mold,,,,,,,,,,,,,,,
Augmented Chainmail Chest Armor#_355279917a69f3031e89e687dd1a5832,Augmented Chainmail Chest Armor,1,,0,,,"Smithing Hammer, Wire Pliers, (8)Coil of Metal Wire, (3)Strap, (3)Metal Binding, (3)Chunk of Coal",Smithing Hammer,1,0,Wire Pliers,1,0,Coil of Metal Wire,8,0,Strap,3,0,Metal Binding,3,0,Chunk of Coal,3,0,,,0,,,0,,,0,,,0,,,0,,Production,Blacksmithing,15,543.40,49.40,494,-382.50,223,,,,,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,5,,,,,,,,,150,4,15,3,15,,,,,,,,,,,,,1,,32,,,Augmented Chainmail Chest Armor,Mace Head Mold,,,,,,,,,,,,,,,
Augmented Chainmail Chest Half-Armor#_3c05294b5410f912d8cb57f255334f62,Augmented Chainmail Chest Half-Armor,1,,0,,,"Smithing Hammer, Wire Pliers, (6)Coil of Metal Wire, (2)Strap, (2)Metal Binding, (3)Chunk of Coal",Smithing Hammer,1,0,Wire Pliers,1,0,Coil of Metal Wire,6,0,Strap,2,0,Metal Binding,2,0,Chunk of Coal,3,0,,,0,,,0,,,0,,,0,,,0,,Production,Blacksmithing,?,401.50,36.50,365,-365.00,,,,,,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,37,,,Augmented Chainmail Chest Half-Armor,Sheet Mold,,,,,,,,,,,,,,,
Augmented Chainmail Chest Quarter-Armor#_ec603052292c77bf05c2ce84f54ec045,Augmented Chainmail Chest Quarter-Armor,1,,0,,,"Smithing Hammer, Wire Pliers, (4)Coil of Metal Wire, (2)Strap, (2)Metal Binding, (3)Chunk of Coal",Smithing Hammer,1,0,Wire Pliers,1,0,Coil of Metal Wire,4,0,Strap,2,0,Metal Binding,2,0,Chunk of Coal,3,0,,,0,,,0,,,0,,,0,,,0,,Production,Blacksmithing,15,293.70,26.70,267,-222.00,90,,,,,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,5,,,,,,,,,100,4,15,3,15,,,,,,,,,,,,,1,,40,,,Augmented Chainmail Chest Quarter-Armor,Shortsword Blade Mold,,,,,,,,,,,,,,,
Augmented Chainmail Gloves#_b0f8efc6e5b2e859fd54b9f1aead69f7,Augmented Chainmail Gloves,1,,0,,,"Smithing Hammer, Wire Pliers, (2)Coil of Metal Wire, (2)Strap, (2)Chunk of Coal",Smithing Hammer,1,0,Wire Pliers,1,0,Coil of Metal Wire,2,0,Strap,2,0,Chunk of Coal,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,Production,Blacksmithing,15,125.40,11.40,114,-81.50,65,,,,,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,1,,,,,,,,,50,3,6.5,1,8,,,,,,,,,,,,,1,,27,,,Augmented Chainmail Gloves,Spear Head Mold,,,,,,,,,,,,,,,
Augmented Chainmail Helm#_2365cd9dbd1763cede0d7e094667c7af,Augmented Chainmail Helm,1,,0,,,"Smithing Hammer, Wire Pliers, (3)Coil of Metal Wire, (2)Strap, Metal Binding, (2)Chunk of Coal",Smithing Hammer,1,0,Wire Pliers,1,0,Coil of Metal Wire,3,0,Strap,2,0,Metal Binding,1,0,Chunk of Coal,2,0,,,0,,,0,,,0,,,0,,,0,,Production,Blacksmithing,15,207.90,18.90,189,-149.00,80,,,,,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,2,,,,,,,,,80,2,8.5,1,,,,,,,,,,,,,,1,,25,,,Augmented Chainmail Helm,Two-handed Mace Head Mold,,,,,,,,,,,,,,,
Augmented Chainmail Leggings Half-Armor#_a5401204b114e8a7ffe964a37fcdb9e8,Augmented Chainmail Leggings Half-Armor,1,,0,,,"Smithing Hammer, Wire Pliers, (4)Coil of Metal Wire, (2)Strap, (3)Chunk of Coal",Smithing Hammer,1,0,Wire Pliers,1,0,Coil of Metal Wire,4,0,Strap,2,0,Chunk of Coal,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,Production,Blacksmithing,?,236.50,21.50,215,-215.00,,,,,,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,40,,,Augmented Chainmail Leggings Half-Armor,War Hammer Head Mold,,,,,,,,,,,,,,,
Augmented Chainmail Leggings Quarter-Armor#_a7b9d1111912dd7c0707852502d4617f,Augmented Chainmail Leggings Quarter-Armor,1,,0,,,"Smithing Hammer, Wire Pliers, (3)Coil of Metal Wire, (2)Strap, (3)Chunk of Coal",Smithing Hammer,1,0,Wire Pliers,1,0,Coil of Metal Wire,3,0,Strap,2,0,Chunk of Coal,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,Production,Blacksmithing,?,182.60,16.60,166,-166.00,,,,,,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,43,,,Augmented Chainmail Leggings Quarter-Armor,Wire Mold,,,,,,,,,,,,,,,
Augmented Chainmail Leggings#_a33b058a56535b54fefbcb6bd1b1a0c8,Augmented Chainmail Leggings,1,,0,,,"Smithing Hammer, Wire Pliers, (5)Coil of Metal Wire, (3)Strap, (2)Metal Binding, (3)Chunk of Coal",Smithing Hammer,1,0,Wire Pliers,1,0,Coil of Metal Wire,5,0,Strap,3,0,Metal Binding,2,0,Chunk of Coal,3,0,,,0,,,0,,,0,,,0,,,0,,Production,Blacksmithing,15,353.10,32.10,321,-230.00,182,,,,,0.00,10.00,0.00,0,1,4,,,,,,,,,,,,,,,,4,,,,,,,,,100,2,8.5,2,4,,,,,,,,,,,,,1,,29,,,Augmented Chainmail Leggings,Two-handed Sword Blade Mold,,,,,,,,,,,,,,,
Augmented Cloth Boots#_64d0782a53c0948fb9bc3465627de2c3,Augmented Cloth Boots,1,,0,,,"Tailoring Scissors, Bone Needle, (3)Wax, (2)Bolt of Cloth, Metal Binding",Tailoring Scissors,1,0,Bone Needle,1,0,Wax,3,0,Bolt of Cloth,2,0,Metal Binding,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,Production,Tailoring,?,171.60,15.60,156,-156.00,,,,,,0.00,10.00,0.00,0,1,4,,,,0.20%,Spell Critical Damage,0.20%,Spell Critical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,22,,,Augmented Cloth Boots,Hot Chisel,,,,,,,,,,,,,,,
Augmented Cloth Chest Armor#_a0f3a5cb91bef3000d72c84cb72b3ed4,Augmented Cloth Chest Armor,1,,0,,,"Tailoring Scissors, Bone Needle, (4)Wax, (9)Bolt of Cloth, (2)Strap, (2)Metal Binding",Tailoring Scissors,1,0,Bone Needle,1,0,Wax,4,0,Bolt of Cloth,9,0,Strap,2,0,Metal Binding,2,0,,,0,,,0,,,0,,,0,,,0,,Production,Tailoring,?,690.80,62.80,628,-628.00,,,,,,0.00,10.00,0.00,0,1,4,,,,0.90%,Spell Critical Damage,0.90%,Spell Critical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,28,,,Augmented Cloth Chest Armor,Cubit Measure,,,,,,,,,,,,,,,
Augmented Cloth Chest Half-Armor#_ee0bf725d93ce5ed4105d94ac9c556c8,Augmented Cloth Chest Half-Armor,1,,0,,,"Tailoring Scissors, Bone Needle, (4)Wax, (7)Bolt of Cloth, (2)Metal Binding",Tailoring Scissors,1,0,Bone Needle,1,0,Wax,4,0,Bolt of Cloth,7,0,Metal Binding,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,Production,Tailoring,?,543.40,49.40,494,-494.00,,,,,,0.00,10.00,0.00,0,1,4,,,,1%,Spell Critical Damage,1%,Spell Critical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,33,,,Augmented Cloth Chest Half-Armor,Wood Chisel,,,,,,,,,,,,,,,
Augmented Cloth Chest Quarter-Armor#_5f026ec91e13974578cd9f22320fd529,Augmented Cloth Chest Quarter-Armor,1,,0,,,"Tailoring Scissors, Bone Needle, (4)Wax, (5)Bolt of Cloth, (2)Metal Binding",Tailoring Scissors,1,0,Bone Needle,1,0,Wax,4,0,Bolt of Cloth,5,0,Metal Binding,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,Production,Tailoring,?,407.00,37.00,370,-370.00,,,,,,0.00,10.00,0.00,0,1,4,,,,1%,Spell Critical Damage,1%,Spell Critical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,36,,,Augmented Cloth Chest Quarter-Armor,Bar Mold,,,,,,,,,,,,,,,
Augmented Cloth Gloves#_3c72fb4592fe75479a89b4f00c001508,Augmented Cloth Gloves,1,,0,,,"Tailoring Scissors, Bone Needle, (3)Wax, (2)Bolt of Cloth, (2)Metal Binding",Tailoring Scissors,1,0,Bone Needle,1,0,Wax,3,0,Bolt of Cloth,2,0,Metal Binding,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,Production,Tailoring,?,200.20,18.20,182,-182.00,,,,,,0.00,10.00,0.00,0,1,4,,,,0.20%,Spell Critical Damage,0.20%,Spell Critical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,23,,,Augmented Cloth Gloves,Axe Head Mold,,,,,,,,,,,,,,,
