Recipe Name,Ingredients,Cost to Make,Npc Value,Profit,Type,Table
Augmented Cloth Helm,"Tailoring Scissors, Bone Needle, (3)Wax, (4)Bolt of Cloth",254,15,-246.5,Production,Tailoring
Augmented Cloth Leggings Half-Armor,"Tailoring Scissors, Bone Needle, (4)Wax, (5)Bolt of Cloth, (3)Strap",333,,-333,Production,Tailoring
Augmented Cloth Leggings Quarter-Armor,"Tailoring Scissors, Bone Needle, (3)Wax, (4)Bolt of Cloth, (2)Metal Binding, Yard of Leather",344,,-344,Production,Tailoring
Augmented Cloth Leggings,"Tailoring Scissors, Bone Needle, (4)Wax, (6)Bolt of Cloth, Strap, (2)Metal Binding",437,,-437,Production,Tailoring
Augmented Leather Boots,"Tailoring Scissors, Rawhide Mallet, (3)Wax, (2)Yard of Leather, Metal Binding",108,,-108,Production,Tailoring
Augmented Leather Chest Armor,"Tailoring Scissors, Rawhide Mallet, (4)Wax, (8)Yard of Leather, (5)Metal Binding",442,,-442,Production,Tailoring
Augmented Leather Chest Half-Armor,"Tailoring Scissors, Rawhide Mallet, (4)Wax, (6)Yard of Leather, (4)Metal Binding",340,,-340,Production,Tailoring
Augmented Leather Chest Quarter-Armor,"Tailoring Scissors, Rawhide Mallet, (4)Yard of Leather, (4)Iron Binding, (4)Wax",264,60,-234,Production,Tailoring
Augmented Leather Gloves,"Tailoring Scissors, Rawhide Mallet, (3)Wax, (2)Yard of Leather, (2)Metal Binding",134,,-134,Production,Tailoring
Augmented Leather Helm,"Tailoring Scissors, Rawhide Mallet, (3)Wax, (3)Yard of Leather, (3)Metal Binding",198,,-198,Production,Tailoring
Augmented Leather Leggings Half-Armor,"Tailoring Scissors, Rawhide Mallet, (4)Wax, (4)Yard of Leather, (2)Metal Binding",212,,-212,Production,Tailoring
Augmented Leather Leggings Quarter-Armor,"Tailoring Scissors, Rawhide Mallet, (4)Wax, (3)Yard of Leather, (2)Metal Binding",174,,-174,Production,Tailoring
Augmented Leather Leggings,"Tailoring Scissors, Rawhide Mallet, (4)Wax, (5)Yard of Leather, (2)Metal Binding, (3)Strap",265,,-265,Production,Tailoring
Augmented Plate Boots,"Smithing Hammer, Edged Chisel, (2)Metal Sheet, Strap, (2)Chunk of Coal",155,,-155,Production,Blacksmithing
Augmented Plate Chest Armor,"Smithing Hammer, Edged Chisel, (7)Metal Sheet, (2)Metal Binding, (5)Strap, (3)Chunk of Coal",590,,-590,Production,Blacksmithing
Augmented Plate Chest Half-Armor,"Smithing Hammer, Edged Chisel, (6)Metal Sheet, (2)Metal Binding, (2)Strap, (3)Chunk of Coal",503,,-503,Production,Blacksmithing
Augmented Plate Chest Quarter-Armor,"Smithing Hammer, Edged Chisel, (5)Metal Sheet, (2)Strap, (3)Chunk of Coal",379,,-379,Production,Blacksmithing
Augmented Plate Gauntlets,"Smithing Hammer, Edged Chisel, (2)Metal Sheet, (2)Strap, (2)Chunk of Coal",160,,-160,Production,Blacksmithing
Augmented Plate Helm,"Smithing Hammer, Edged Chisel, (3)Metal Sheet, (3)Strap, (2)Chunk of Coal",237,,-237,Production,Blacksmithing
Augmented Plate Leggings Half-Armor,"Smithing Hammer, Edged Chisel, (4)Metal Sheet, (3)Strap, (3)Chunk of Coal",312,,-312,Production,Blacksmithing
Augmented Plate Leggings Quarter-Armor,"Smithing Hammer, Edged Chisel, (3)Metal Sheet, (3)Strap, (3)Chunk of Coal",240,,-240,Production,Blacksmithing
Augmented Plate Leggings,"Smithing Hammer, Edged Chisel, (5)Metal Sheet, (4)Strap, (3)Chunk of Coal",389,,-389,Production,Blacksmithing
Avatar Rug,"Loom Shuttle, (12)Spool of Cotton Thread",240,18,-231,Refining,Textiles
Axe Head Mold,,0,,0,Tool,Tool
Backpack,"Tailoring Scissors, (3)Leather, Leather Straps",74,20,-64,Production,Tailoring
Banana Bread,"Cooking Pot, (4)Sack of Flour, (2)Sack of Sugar, Butter, Banana, Bottle of Milk, Cinnamon Bark, Sack of Salt",77,25,-64.5,Production,Cooking
Banana,,3,3,-1.5,Gathering,Gathering
Bar Mold,,0,,0,Tool,Tool
Bark Bread,"Cooking Pot, Sack of Flour, Maple Tree Bark, Jar of Yeast Culture, Sack of Salt",50,25,-37.5,Production,Cooking
Basket,"Carpentry Hammer, (3)Wooden Bindings",24,1,-23.5,Production,Carpentry
Bass Fillet,"Cleaver, Bass",3,3,-1.5,Refining,Butchery
Bass Trophy,"Tanning Knife, Bass, (3)Wax",9,5,-6.5,Refining,Tanning
Bass,,3,3,-1.5,Gathering,Gathering
Bear Hat,"Tailoring Scissors, Bone Needle, Bear Head, (2)Strap, (4)Wax",19,,-19,Production,Tailoring
Bear Head,,1,1,-0.5,Gathering,Gathering
Bed,"Carpentry Hammer, Wooden Bed Frame, Cloth Mattress",484,150,-409,Production,Carpentry
Bedroll,"Tailoring Scissors, (6)Piece of Canvas Fabric, (3)Bolt of Cotton Cloth, Pillow",574,,-574,Production,Tailoring
Beetle Carapace,,40,40,-20,Gathering,Gathering
Bench,"Carpentry Hammer, (7)Wooden Boards",21,30,-6,Production,Carpentry
Big Round Rug,"Loom Shuttle, (20)Spool of Thread",200,30,-185,Refining,Textiles
Big Rug,"Loom Shuttle, (30)Spool of Thread",300,50,-275,Refining,Textiles
Black Pearl,,3,3,-1.5,Gathering,Gathering
Blade Mold,,0,,0,Tool,Tool
Blank Book,"Tailoring Scissors, (20)Wood Pulp, (5)Spool of Cotton Thread, (4)Leather",272,40,-252,Production,Tailoring
Blank Hospitaller Book,"Tailoring Scissors, Blank Book, Hospitaller Symbol",272,,-272,Production,Tailoring
Blank Sheet Music,"Tailoring Scissors, (8)Wood Pulp, (5)Spool of Cotton Thread",140,,-140,Production,Tailoring
Blue Dye,"Tanning Knife, (8)Maple Tree Bark, (2)Chunk of Coal",262,,-262,Refining,Tanning
Blue Stall Awning,"Carpentry Hammer, (20)Wooden Boards, (10)Bolt of Cloth, Blue Dye",942,,-942,Production,Carpentry
Bodice Bottoms,"Tailoring Scissors, Bone Needle, (2)Yard of Leather, Strap, (10)Wax",101,60,-71,Production,Tailoring
Bodice Top,"Tailoring Scissors, Bone Needle, (3)Yard of Leather, Strap, (10)Wax",139,80,-99,Production,Tailoring
Bolt of Carapacian Cloth,"Loom Shuttle, (2)Spool of Carapacian Thread, Wax",258,,-258,Refining,Textiles
Bolt of Cloth,"Loom Shuttle, (6)Spool of Thread, Wax",62,2,-61,Refining,Textiles
Bolt of Cotton Cloth,"Loom Shuttle, (2)Spool of Cotton Thread, Wax",42,20,-32,Refining,Textiles
Bolt of Fustian Cloth,"Loom Shuttle, (2)Spool of Fustian Thread, Wax",258,,-258,Refining,Textiles
Bone Needle,,0,25,12.5,Tool,Tool
Bookshelf,"Carpentry Hammer, (6)Wooden Boards",18,20,-8,Production,Carpentry
Bottle of Milk,,11,11,-5.5,Gathering,Gathering
Bottle of Wine,,20,20,-10,Gathering,Gathering
Bovine Carcass,,3,3,-1.5,Gathering,Gathering
Bovine Meat,"Cleaver, Bovine Carcass",3,5,-0.5,Refining,Butchery
Bowl of Ardoris Coleslaw,"Cooking Pot, Nut Butter, Flask of Cooking Oil, Flask of Vinegar, Lettuce, Carrot, Pecan Nuts, (4)Wooden Bowl",98,25,-85.5,Production,Cooking
Bowl of Dupre's Duck Stew,"Cooking Pot, (3)Duck Meat, Lemon, Onion, Pepper, Jar of Vegetable Stock, (2)Wooden Bowl",50,25,-37.5,Production,Cooking
Bowl of Gorn's Venison Roast,"Cooking Pot, (6)Venison Meat, Onion, Garlic, Pepper, Brown Cap Mushroom, Bottle of Milk, (4)Wooden Bowl",96,25,-83.5,Production,Cooking
Bowl of Grannus Beef Stew,"Cooking Pot, (2)Bovine Meat, Onion, Garlic, Pepper, Bottle of Wine, Sack of Salt, Flask of Beef Stock, (2)Wooden Bowl",105,25,-92.5,Production,Cooking
Bowl of Iolo's Cat Gut Goulash,"Cooking Pot, (4)Sinew, Lemon, Onion, Butter, Garlic, Jar of Vegetable Stock, Sack of Salt, (2)Wooden Bowl",62,25,-49.5,Production,Cooking
Bowl of Son of Owan Regicide Stovie,"Cooking Pot, (2)Mutton Meat, (2)Pork Sausage Links, (2)Potato, Onion, Flask of Beef Stock, Pepper, (2)Wooden Bowl",101,25,-88.5,Production,Cooking
Bowstring,"Tailoring Scissors, (5)Spool of Thread, Wax",52,10,-47,Production,Tailoring
Brazier,"Smithing Hammer, (4)Iron Ingot, (2)Maple Timber, (3)Chunk of Coal",165,"30,10",#VALUE!,Production,Blacksmithing
Brazier,"Smithing Hammer, (4)Iron Ingot, (2)Pine Timber, (3)Chunk of Coal",165,,-165,Production,Blacksmithing
Brazier,"Smithing Hammer, (5)Iron Ingot, (3)Chunk of Coal",124,,-124,Production,Blacksmithing
Bronze Binding,"Smithing Hammer, Bronze Ingot, Chunk of Coal",135,25,-122.5,Production,Blacksmithing
Bronze Core,"Smelting Tongs, Core Mold, (3)Bronze Ingot, Chunk of Coal",399,1,-398.5,Refining,Smelting
Bronze Dagger Blade,"Smithing Hammer, Dagger Blade Mold, (2)Bronze Ingot, Chunk of Coal",267,20,-257,Production,Blacksmithing
Bronze Great Axe Blade,"Smithing Hammer, Great Axe Head Mold, (6)Bronze Ingot, Chunk of Coal",795,30,-780,Production,Blacksmithing
Bronze Halberd Blade,"Smithing Hammer, Halberd Blade Mold, (6)Bronze Ingot, Chunk of Coal",795,30,-780,Production,Blacksmithing
Bronze Hand Axe Blade,"Smithing Hammer, Hand Axe Head Mold, (3)Bronze Ingot, Chunk of Coal",399,30,-384,Production,Blacksmithing
Bronze Heavy War Hammer Head,"Smithing Hammer, Heavy War Hammer Head Mold, (6)Bronze Ingot, Chunk of Coal",795,10,-790,Production,Blacksmithing
Bronze Hilt,"Smithing Hammer, Chunk of Coal, (2)Bronze Ingot",267,10,-262,Production,Blacksmithing
Bronze Ingot,"Smelting Tongs, Ingot Mold, (2)Copper Ingot, (2)Chunk of Coal, (2)Tin",132,60,-102,Refining,Smelting
Bronze Longsword Blade,"Smithing Hammer, Longsword Blade Mold, (3)Bronze Ingot, Chunk of Coal",399,370,-214,Production,Blacksmithing
Bronze Mace Head,"Smithing Hammer, Mace Head Mold, (3)Bronze Ingot, Chunk of Coal",399,30,-384,Production,Blacksmithing
Bronze Sheet,"Smithing Hammer, Sheet Mold, (3)Bronze Ingot, Chunk of Coal",399,190,-304,Production,Blacksmithing
Bronze Shortsword Blade,"Smithing Hammer, Shortsword Blade Mold, (3)Bronze Ingot, Chunk of Coal",399,30,-384,Production,Blacksmithing
Bronze Shortsword with Bronze Hilt,"Smithing Hammer, Bronze Shortsword Blade, Bronze Hilt, Chunk of Coal",669,110,-614,Production,Blacksmithing
Bronze Shortsword with Constantan Hilt,"Smithing Hammer, Bronze Shortsword Blade, Constantan Hilt, Chunk of Coal",669,110,-614,Production,Blacksmithing
Bronze Shortsword with Copper Hilt,"Smithing Hammer, Bronze Shortsword Blade, Copper Hilt, Chunk of Coal",451,110,-396,Production,Blacksmithing
Bronze Shortsword with Iron Hilt,"Smithing Hammer, Bronze Shortsword Blade, Iron Hilt, Chunk of Coal",451,110,-396,Production,Blacksmithing
Bronze Shortsword with Meteoric Iron Hilt,"Smithing Hammer, Bronze Shortsword Blade, Meteoric Iron Hilt, (5)Chunk of Coal",801,110,-746,Production,Blacksmithing
Bronze Shortsword with White Iron Hilt,"Smithing Hammer, Bronze Shortsword Blade, White Iron Hilt, Chunk of Coal",789,110,-734,Production,Blacksmithing
Bronze Spear Head,"Smithing Hammer, Spear Head Mold, (3)Bronze Ingot, Chunk of Coal",399,70,-364,Production,Blacksmithing
Bronze Two-handed Mace Head,"Smithing Hammer, Two-handed Mace Head Mold, (6)Bronze Ingot, Chunk of Coal",795,30,-780,Production,Blacksmithing
Bronze Two-handed Sword Blade,"Smithing Hammer, Two-handed Sword Blade Mold, (5)Bronze Ingot, Chunk of Coal",663,50,-638,Production,Blacksmithing
Bronze Two-Handed Sword with Constantan Hilt,"Smithing Hammer, Bronze Two-handed Sword Blade, Constantan Hilt, (5)Chunk of Coal",945,115,-887.5,Production,Blacksmithing
Bronze Two-Handed Sword with Copper Hilt,"Smithing Hammer, Bronze Two-handed Sword Blade, Copper Hilt, (5)Chunk of Coal",727,115,-669.5,Production,Blacksmithing
Bronze Two-Handed Sword with Iron Hilt,"Smithing Hammer, Bronze Two-handed Sword Blade, Iron Hilt, (5)Chunk of Coal",727,115,-669.5,Production,Blacksmithing
Bronze Two-Handed Sword with Meteoric Iron Hilt,"Smithing Hammer, Bronze Two-handed Sword Blade, Meteoric Iron Hilt, (5)Chunk of Coal",1065,115,-1007.5,Production,Blacksmithing
Bronze War Hammer Head,"Smithing Hammer, War Hammer Head Mold, (2)Bronze Ingot, Chunk of Coal",267,30,-252,Production,Blacksmithing
Brown Cap Mushroom,,12,12,-6,Gathering,Gathering
Brown Dye,"Tanning Knife, (5)Pine Tree Bark, (2)Cinnamon Bark, (2)Chunk of Coal",182,,-182,Refining,Tanning
Brown Fur Hat,"Tailoring Scissors, Bone Needle, (8)Wax, (2)Yard of Leather, Wolf Head",93,,-93,Production,Tailoring
Brown Suede Arm Chair,"Carpentry Hammer, (3)Wooden Boards, (2)Wooden Pole, (2)Yard of Leather",109,11,-103.5,Production,Carpentry
Brown Suede Ottoman,"Carpentry Hammer, (2)Wooden Boards, Wooden Pole, Yard of Leather",56,11,-50.5,Production,Carpentry
Brown Suede Sofa,"Carpentry Hammer, (10)Wooden Boards, (4)Wooden Pole, (7)Yard of Leather",344,11,-338.5,Production,Carpentry
Brown Suede Wingback Chair,"Carpentry Hammer, (6)Wooden Boards, (2)Wooden Pole, (4)Yard of Leather",194,11,-188.5,Production,Carpentry
Bucket Helm,"Smithing Hammer, (2)Metal Sheet, Bucket, (3)Chunk of Coal",227,,-227,Production,Blacksmithing
Bucket,"Carpentry Hammer, (3)Wooden Bindings, Coil of Rope",74,3,-72.5,Production,Carpentry
Bundle of Feathers,,2,2,-1,Gathering,Gathering
Bunk Bed,"Carpentry Hammer, (2)Bed, (2)Wooden Bindings",984,400,-784,Production,Carpentry
Butter,"Cooking Pot, Bottle of Milk",11,7,-7.5,Production,Cooking
Caltrops,"Smithing Hammer, Small Bag, Coil of Metal Wire",135,100,-85,Production,Blacksmithing
Caltrops/Copper Caltrops,"Smithing Hammer, Small Bag, Coil of Copper Wire",135,100,-85,Production,Blacksmithing
Caltrops/Iron Caltrops,"Smithing Hammer, Small Bag, Coil of Iron Wire",135,100,-85,Production,Blacksmithing
Candle,,1,1,-0.5,Gathering,Gathering
Carapacian Bow String,"Tailoring Scissors, (5)Spool of Carapacian Thread, Wax",642,1,-641.5,Production,Tailoring
Carapacian Cloth Boots with Supple Leather,"Tailoring Scissors, Bone Needle, (2)Bolt of Carapacian Cloth, Yard of Supple Leather, (3)Wax",764,70,-729,Production,Tailoring
Carapacian Cloth Chest Armor with Bronze Binding and Leather,"Tailoring Scissors, Bone Needle, (5)Bolt of Carapacian Cloth, (3)Bronze Binding, (2)Yard of Leather, (4)Wax",1779,70,-1744,Production,Tailoring
Carapacian Cloth Chest Armor with Constantan Binding and Leather,"Tailoring Scissors, Bone Needle, (5)Bolt of Carapacian Cloth, (3)Constantan Binding, (2)Yard of Leather, (4)Wax",1779,70,-1744,Production,Tailoring
Carapacian Cloth Chest Armor with Copper Binding and Hardened Leather,"Tailoring Scissors, Bone Needle, (5)Bolt of Carapacian Cloth, (3)Copper Binding, (2)Yard of Hardened Leather, (4)Wax",1860,70,-1825,Production,Tailoring
Carapacian Cloth Chest Armor with Iron Binding and Hardened Leather,"Tailoring Scissors, Bone Needle, (5)Bolt of Carapacian Cloth, (3)Iron Binding, (2)Yard of Hardened Leather, (4)Wax",1860,70,-1825,Production,Tailoring
Carapacian Cloth Chest Armor with Iron Binding and Leather,"Tailoring Scissors, Bone Needle, (5)Bolt of Carapacian Cloth, (3)Iron Binding, (2)Yard of Leather, (4)Wax",1452,70,-1417,Production,Tailoring
Carapacian Cloth Chest Armor with Iron Binding and Supple Leather,"Tailoring Scissors, Bone Needle, (5)Bolt of Carapacian Cloth, (3)Iron Binding, (2)Yard of Supple Leather, (4)Wax",1860,70,-1825,Production,Tailoring
Carapacian Cloth Chest Armor with Meteoric Iron Binding and Hardened Leather,"Tailoring Scissors, Bone Needle, (5)Bolt of Carapacian Cloth, (3)Meteoric Iron Binding, (2)Yard of Hardened Leather, (4)Wax",2367,70,-2332,Production,Tailoring
Carapacian Cloth Straps,"Loom Shuttle, Spool of Carapacian Thread, Wax",130,5,-127.5,Refining,Textiles
Carpentry Hammer,,0,,0,Tool,Tool
Carpet,"Loom Shuttle, (10)Spool of Cotton Thread",200,15,-192.5,Refining,Textiles
Carrot,,1,1,-0.5,Gathering,Gathering
Catgut Fishing Line,"Tailoring Scissors, (3)Leather, (2)Wax",58,3,-56.5,Production,Tailoring
Catgut Lute String,"Tailoring Scissors, Leather, (2)Wax",22,3,-20.5,Production,Tailoring
Chainmail Boots of Defense,"Smithing Hammer, Wire Pliers, (3)Coil of Iron Wire, Chunk of Coal, (4)Cotton Cloth Strap",238,113,-181.5,Production,Blacksmithing
Chainmail Boots of Dodge,"Smithing Hammer, Wire Pliers, (3)Coil of Copper Wire, Chunk of Coal, (4)Cotton Cloth Strap",238,113,-181.5,Production,Blacksmithing
Chainmail Boots,"Smithing Hammer, (2)Coil of Metal Wire, Chunk of Coal",101,55,-73.5,Production,Blacksmithing
Chainmail Chest Armor,"Smithing Hammer, (9)Coil of Metal Wire, (3)Strap, (2)Chunk of Coal",462,120,-402,Production,Blacksmithing
Chainmail Chest Half-Armor,"Smithing Hammer, (7)Coil of Metal Wire, Strap, (2)Chunk of Coal",354,,-354,Production,Blacksmithing
Chainmail Chest Quarter-Armor,"Smithing Hammer, (5)Coil of Metal Wire, Strap, (2)Chunk of Coal",256,70,-221,Production,Blacksmithing
Chainmail Gloves of Defense,"Smithing Hammer, Wire Pliers, (6)Coil of Iron Wire, Cotton Cloth Strap, (2)Chunk of Coal",322,47,-298.5,Production,Blacksmithing
Chainmail Gloves of Dodge,"Smithing Hammer, Wire Pliers, (2)Coil of Copper Wire, Cotton Cloth Strap, (2)Chunk of Coal",126,47,-102.5,Production,Blacksmithing
Chainmail Gloves,"Smithing Hammer, (2)Coil of Metal Wire, Strap, Chunk of Coal",106,47,-82.5,Production,Blacksmithing
Chainmail Helm,"Smithing Hammer, (4)Coil of Metal Wire, Chunk of Coal",199,60,-169,Production,Blacksmithing
Chainmail Leggings Half-Armor,"Smithing Hammer, (5)Coil of Metal Wire, (2)Chunk of Coal",251,,-251,Production,Blacksmithing
Chainmail Leggings of Defense,"Smithing Hammer, Wire Pliers, (5)Coil of Iron Wire, (2)Cotton Cloth Strap, Copper Sheet, (2)Chunk of Coal",367,105,-314.5,Production,Blacksmithing
Chainmail Leggings of Dodge,"Smithing Hammer, Wire Pliers, (5)Coil of Copper Wire, (2)Cotton Cloth Strap, Iron Sheet, (2)Chunk of Coal",367,105,-314.5,Production,Blacksmithing
Chainmail Leggings Quarter-Armor,"Smithing Hammer, (4)Coil of Metal Wire, (2)Chunk of Coal",202,,-202,Production,Blacksmithing
Chainmail Leggings,"Smithing Hammer, (6)Coil of Metal Wire, Strap, (2)Chunk of Coal",305,65,-272.5,Production,Blacksmithing
Chair,"Carpentry Hammer, (3)Wooden Boards, Wooden Pole",21,25,-8.5,Production,Carpentry
Chair,"Carpentry Hammer, (4)Wooden Boards, Wooden Pole",24,,-24,Production,Carpentry
Chair,"Carpentry Hammer, (2)Wooden Boards, Wooden Pole",18,,-18,Production,Carpentry
Cheese Bread,"Cooking Pot, (6)Sack of Flour, Flask of Cooking Oil, (2)Sack of Salt, (2)Sack of Sugar, Wedge of Cheese",90,25,-77.5,Production,Cooking
Chest Mechanism,,45,45,-22.5,Gathering,Gathering
Chicken Carcass,,3,3,-1.5,Gathering,Gathering
Chicken Meat,"Cleaver, Chicken Carcass",3,3,-1.5,Refining,Butchery
Chunk of Coal,,3,3,-1.5,Gathering,Gathering
Cinnamon Bark,,8,8,-4,Gathering,Gathering
Citrine Fragment,,1,1,-0.5,Gathering,Gathering
Citrine,"Mortar and Pestle, (400)Citrine Fragment, (10)Mandrake Root",420,200,-320,Production,Alchemy
Clay Block,,1,1,-0.5,Gathering,Gathering
Clay Pipe,"Smelting Tongs, (4)Clay Block, (2)Chunk of Coal",10,,-10,Production,Blacksmithing
Cleaver,,0,,0,Tool,Tool
Cloth Boots,"Tailoring Scissors, (2)Bolt of Cloth, (2)Wax",128,28,-114,Production,Tailoring
Cloth Bow String,"Tailoring Scissors, Wax, (5)Spool of Thread",52,,-52,Production,Tailoring
Cloth Chest Armor,"Tailoring Scissors, (6)Bolt of Cloth, Strap, (3)Wax",383,70,-348,Production,Tailoring
Cloth Gambeson,"Tailoring Scissors, (6)Wax, (5)Bolt of Cloth",322,100,-272,Production,Tailoring
Cloth Gloves,"Tailoring Scissors, (2)Bolt of Cloth, Strap, (2)Wax",133,28,-119,Production,Tailoring
Cloth Helm,"Tailoring Scissors, (3)Bolt of Cloth, Strap, (2)Wax",195,15,-187.5,Production,Tailoring
Cloth Leggings,"Tailoring Scissors, (3)Bolt of Cloth, (3)Wax, (2)Strap",202,28,-188,Production,Tailoring
Cloth Mattress,"Tailoring Scissors, (10)Bolt of Cotton Cloth, (10)Bundle of Feathers",440,90,-395,Production,Tailoring
Cloth Tunic,"Tailoring Scissors, (4)Bolt of Cloth, (6)Wax",260,,-260,Production,Tailoring
Coconut Bra,"Tailoring Scissors, Rawhide Mallet, Yard of Leather, Metal Binding, Wearable Coconut, Wax",107,110,-52,Production,Tailoring
Coconut,,5,5,-2.5,Gathering,Gathering
Coil of Bronze Wire,"Wire Mold, Smelting Tongs, (2)Bronze Ingot, Chunk of Coal",267,125,-204.5,Refining,Smelting
Coil of Constantan Wire,"Wire Mold, Smelting Tongs, (2)Constantan Ingot, Chunk of Coal",267,125,-204.5,Refining,Smelting
Coil of Copper Wire,"Wire Mold, Smelting Tongs, (2)Copper Ingot, Chunk of Coal",49,45,-26.5,Refining,Smelting
Coil of Iron Wire,"Wire Mold, Smelting Tongs, (2)Iron Ingot, Chunk of Coal",49,125,13.5,Refining,Smelting
Coil of Metal Wire,"Smelting Tongs, Wire Mold, (2)Metal Ingot, Chunk of Coal",49,5,-46.5,Refining,Smelting
Coil of Meteoric Iron Wire,"Wire Mold, Smelting Tongs, (2)Meteoric Iron Ingot, Chunk of Coal",387,125,-324.5,Refining,Smelting
